Drill Listing
=============
Drill: .01378  Tool: 1  Feed: 95  Speed: 300
X 1961440  Y 1474770
X 1961440  Y 1482644
X 1961440  Y 1490518
X 1961440  Y 1498392
X 1961440  Y 1506266
X 1961440  Y 1514140
X 1952779  Y 1514140
X 1952779  Y 1506266

Drill: .04  Tool: 4  Feed: 139  Speed: 550
X 1713664  Y 1395606
X 1713664  Y 1385606
X 1723664  Y 1395606
X 1723664  Y 1385606
X 1733664  Y 1395606
X 1733664  Y 1385606
X 1743664  Y 1395606
X 1743664  Y 1385606
X 1753664  Y 1395606
X 1753664  Y 1385606
X 1763664  Y 1395606
X 1763664  Y 1385606
X 1773664  Y 1395606
X 1773664  Y 1385606
X 1783664  Y 1395606
X 1783664  Y 1385606
X 1803635  Y 1395605
X 1803635  Y 1385605
X 1813635  Y 1395605
X 1813635  Y 1385605
X 1823635  Y 1395605
X 1823635  Y 1385605
X 1833635  Y 1395605
X 1833635  Y 1385605
X 1843635  Y 1395605
X 1843635  Y 1385605
X 1853635  Y 1395605
X 1853635  Y 1385605
X 1863635  Y 1395605
X 1863635  Y 1385605
X 1873635  Y 1395605
X 1873635  Y 1385605
X 1853619  Y 1585591
X 1853619  Y 1595591
X 1843619  Y 1585591
X 1843619  Y 1595591
X 1833619  Y 1585591
X 1833619  Y 1595591
X 1823619  Y 1585591
X 1823619  Y 1595591
X 1813619  Y 1585591
X 1813619  Y 1595591
X 1803619  Y 1585591
X 1803619  Y 1595591
X 1793619  Y 1585591
X 1793619  Y 1595591
X 1783619  Y 1585591
X 1783619  Y 1595591

Drill: .04331  Tool: 5  Feed: 139  Speed: 550
X 1893652  Y 1395620
X 1893652  Y 1385620
X 1903652  Y 1395620
X 1903652  Y 1385620
X 1913652  Y 1395620
X 1913652  Y 1385620
X 1923652  Y 1395620
X 1923652  Y 1385620
X 1933652  Y 1395620
X 1933652  Y 1385620
X 1943652  Y 1395620
X 1943652  Y 1385620
X 1953652  Y 1395620
X 1953652  Y 1385620
X 1963652  Y 1395620
X 1963652  Y 1385620
X 1973652  Y 1395620
X 1973652  Y 1385620
X 1983652  Y 1395620
X 1983652  Y 1385620
X 1963650  Y 1585602
X 1963650  Y 1595602
X 1953650  Y 1585602
X 1953650  Y 1595602
X 1943650  Y 1585602
X 1943650  Y 1595602
X 1933650  Y 1585602
X 1933650  Y 1595602
X 1923650  Y 1585602
X 1923650  Y 1595602
X 1913650  Y 1585602
X 1913650  Y 1595602
X 1903650  Y 1585602
X 1903650  Y 1595602
X 1893650  Y 1585602
X 1893650  Y 1595602
X 1883650  Y 1585602
X 1883650  Y 1595602
X 1873650  Y 1585602
X 1873650  Y 1595602
X 1767662  Y 1585615
X 1767662  Y 1595615
X 1757662  Y 1585615
X 1757662  Y 1595615
X 1747662  Y 1585615
X 1747662  Y 1595615
X 1737662  Y 1585615
X 1737662  Y 1595615
X 1727662  Y 1585615
X 1727662  Y 1595615
X 1717662  Y 1585615
X 1717662  Y 1595615
X 1707662  Y 1585615
X 1707662  Y 1595615
X 1697662  Y 1585615
X 1697662  Y 1595615
X 1687662  Y 1585615
X 1687662  Y 1595615
X 1677662  Y 1585615
X 1677662  Y 1595615

Drill: .07087  Tool: 6  Feed: 81  Speed: 550
X 1586537  Y 1442358
X 1586537  Y 1462437
X 1596328  Y 1452312
X 1606616  Y 1462437
X 1606616  Y 1442358
X 1606616  Y 1553121
X 1606616  Y 1573200
X 1596328  Y 1563075
X 1586537  Y 1553121
X 1586537  Y 1573200

End of Listing
